VCF_ID	Breed	Sex	white_head	white_chest
VillDog_Qatar02	Village Dog - Qatar	M	NA	NA
VillDog_Africa01	Village Dog - Sub-Saharan Africa	F	NA	NA
VillDog_Taiwan01	Village Dog - Taiwan	F	NA	NA
VillDog_Vietnam01	Village Dog - Vietnam	F	NA	NA
VillDog_Vietnam02	Village Dog - Vietnam	F	NA	NA
VillDog_Vietnam03	Village Dog - Vietnam	M	NA	NA
VillDog_Vietnam04	Village Dog - Vietnam	F	NA	NA
VillDog_Vietnam05	Village Dog - Vietnam	M	NA	NA
VillDog_Vietnam06	Village Dog - Vietnam	M	NA	NA
Vizsla01	Vizsla	F	1	1
WE006	Weimaraner	F	1	1
WestHighlandWhiteTerr01	West Highland White Terrier	F	NA	NA
WestHighlandWhiteTerr02	West Highland White Terrier	F	NA	2
WestHighlandWhiteTerr03	West Highland White Terrier	M	NA	2
WestHighlandWhiteTerr04	West Highland White Terrier	F	NA	NA
WestHighlandWhiteTerr05	West Highland White Terrier	F	NA	NA
WestHighlandWhiteTerr06	West Highland White Terrier	F	NA	2
WestHighlandWhiteTerr08	West Highland White Terrier	F	NA	NA
WestHighlandWhiteTerr09	West Highland White Terrier	F	NA	NA
WW174	West Highland White Terrier	F	NA	NA
WW362	West Highland White Terrier	M	NA	2
WW558	West Highland White Terrier	F	NA	NA
Whippet01	Whippet	M	NA	NA
AlaskanWolf	Wolf	F	NA	NA
AlgonquinWolf13467	Wolf	M	NA	NA
AlgonquinWolf13470	Wolf	F	NA	NA
QuebecWolf	Wolf	F	NA	NA
WO001_895	Wolf	F	NA	NA
WO002_732	Wolf	M	NA	NA
WO003_636	Wolf	F	NA	NA
Wolf40	Wolf	F	NA	NA
Wolf41	Wolf	M	NA	NA
Wolf42	Wolf	F	NA	NA
XiasiDog01	Xiasi Dog	M	NA	NA
MexicanHairless01	Xoloitzcuintli	M	1	1
Xoloitzcuintli01	Xoloitzcuintli	M	1	1
BAN00315	Yorkshire Terrier	M	NA	NA
PER00449	Yorkshire Terrier	F	NA	NA
BAN00032	Yorkshire Terrier	F	NA	NA
BAN00041	Yorkshire Terrier	M	1	1
BAN00079	Yorkshire Terrier	M	NA	NA
BAN00127	Yorkshire Terrier	F	NA	NA
BAN00133	Yorkshire Terrier	M	NA	NA
BAN00136	Yorkshire Terrier	M	NA	NA
BAN00150	Yorkshire Terrier	F	NA	NA
BAN00183	Yorkshire Terrier	F	NA	NA
BAN00235	Yorkshire Terrier	M	NA	NA
BAN00283	Yorkshire Terrier	M	NA	NA
BAN00289	Yorkshire Terrier	M	NA	NA
BAN00368	Yorkshire Terrier	M	NA	NA
BAN00380	Yorkshire Terrier	M	NA	NA
BAN00437	Yorkshire Terrier	F	NA	NA
BAN00449	Yorkshire Terrier	M	NA	NA
BAN00461	Yorkshire Terrier	M	NA	NA
PER00016	Yorkshire Terrier	F	NA	NA
PER00018	Yorkshire Terrier	M	NA	NA
PER00025	Yorkshire Terrier	M	NA	NA
PER00061	Yorkshire Terrier	F	NA	NA
PER00064	Yorkshire Terrier	F	NA	NA
PER00075	Yorkshire Terrier	F	1	1
PER00107	Yorkshire Terrier	M	NA	NA
PER00138	Yorkshire Terrier	M	NA	NA
PER00142	Yorkshire Terrier	M	NA	NA
PER00144	Yorkshire Terrier	M	NA	NA
PER00152	Yorkshire Terrier	F	NA	NA
PER00204	Yorkshire Terrier	F	1	1
PER00226	Yorkshire Terrier	M	NA	NA
PER00259	Yorkshire Terrier	F	NA	NA
PER00274	Yorkshire Terrier	M	NA	NA
PER00313	Yorkshire Terrier	M	NA	NA
PER00314	Yorkshire Terrier	F	NA	NA
PER00321	Yorkshire Terrier	M	NA	NA
PER00324	Yorkshire Terrier	F	NA	NA
PER00327	Yorkshire Terrier	M	NA	NA
PER00344	Yorkshire Terrier	M	NA	NA
PER00361	Yorkshire Terrier	M	NA	NA
PER00393	Yorkshire Terrier	F	NA	NA
PER00394	Yorkshire Terrier	M	NA	NA
PER00408	Yorkshire Terrier	M	NA	NA
PER00409	Yorkshire Terrier	F	NA	NA
PER00425	Yorkshire Terrier	M	NA	NA
PER00429	Yorkshire Terrier	M	NA	NA
PER00438	Yorkshire Terrier	M	NA	NA
PER00454	Yorkshire Terrier	M	NA	NA
PER00462	Yorkshire Terrier	M	NA	NA
PER00465	Yorkshire Terrier	M	NA	NA
PER00481	Yorkshire Terrier	M	NA	NA
PER00484	Yorkshire Terrier	F	NA	NA
PER00550	Yorkshire Terrier	M	NA	NA
PER00594	Yorkshire Terrier	F	NA	NA
PER00602	Yorkshire Terrier	M	NA	NA
PER00605	Yorkshire Terrier	M	NA	NA
PER00606	Yorkshire Terrier	M	NA	NA
PER00607	Yorkshire Terrier	M	NA	NA
PER00622	Yorkshire Terrier	M	NA	NA
PER00626	Yorkshire Terrier	M	NA	NA
PER00640	Yorkshire Terrier	M	NA	NA
PER00642	Yorkshire Terrier	F	NA	NA
PER00646	Yorkshire Terrier	F	NA	NA
PER00650	Yorkshire Terrier	M	NA	NA
PER00658	Yorkshire Terrier	M	NA	NA
PER00738	Yorkshire Terrier	M	NA	NA
PER00739	Yorkshire Terrier	F	NA	NA
PER00747	Yorkshire Terrier	F	NA	NA
PER00750	Yorkshire Terrier	M	NA	NA
PER00758	Yorkshire Terrier	F	NA	NA
PER00777	Yorkshire Terrier	M	NA	NA
PER00806	Yorkshire Terrier	M	NA	NA
PER00816	Yorkshire Terrier	M	NA	NA
YorkshireTerrier01	Yorkshire Terrier	M	NA	NA
YorkshireTerrier02	Yorkshire Terrier	M	1	1
